"Date","Value"
"12/01/2017",2642.22
"12/04/2017",2639.44
"12/05/2017",2629.57
"12/06/2017",2629.27
"12/07/2017",2636.98
"12/08/2017",2651.5
"12/11/2017",2659.99
"12/12/2017",2664.11
"12/13/2017",2662.85
"12/14/2017",2652.01
"12/15/2017",2675.81
"12/18/2017",2690.16
"12/19/2017",2681.47
"12/20/2017",2679.25
"12/21/2017",2684.57
"12/22/2017",2683.34
"12/26/2017",2680.5
"12/27/2017",2682.62
"12/28/2017",2687.54
"12/29/2017",2673.61
"01/02/2018",2695.81
"01/03/2018",2713.06
"01/04/2018",2723.99
"01/05/2018",2743.15
"01/08/2018",2747.71
"01/09/2018",2751.29
"01/10/2018",2748.23
"01/11/2018",2767.56
"01/12/2018",2786.24
"01/16/2018",2776.42
"01/17/2018",2802.56
"01/18/2018",2798.03
"01/19/2018",2810.3
"01/22/2018",2832.97
"01/23/2018",2839.13
"01/24/2018",2837.54
"01/25/2018",2839.25
"01/26/2018",2872.87
"01/29/2018",2853.53
"01/30/2018",2822.43
"01/31/2018",2823.81
"02/01/2018",2821.98
"02/02/2018",2762.13
"02/05/2018",2648.94
"02/06/2018",2695.14
"02/07/2018",2681.66
"02/08/2018",2581
"02/09/2018",2619.55
"02/12/2018",2656
"02/13/2018",2662.94
"02/14/2018",2698.63
"02/15/2018",2731.2
"02/16/2018",2732.22
"02/20/2018",2716.26
"02/21/2018",2701.33
"02/22/2018",2703.96
"02/23/2018",2747.3
"02/26/2018",2779.6
"02/27/2018",2744.28
"02/28/2018",2713.83
"03/01/2018",2677.67
"03/02/2018",2691.25
"03/05/2018",2720.94
"03/06/2018",2728.12
"03/07/2018",2726.8
"03/08/2018",2738.97
"03/09/2018",2786.57
"03/12/2018",2783.02
"03/13/2018",2765.31
"03/14/2018",2749.48
"03/15/2018",2747.33
"03/16/2018",2752.01
"03/19/2018",2712.92
"03/20/2018",2716.94
"03/21/2018",2711.93
"03/22/2018",2643.69
"03/23/2018",2588.26
"03/26/2018",2658.55
"03/27/2018",2612.62
"03/28/2018",2605
"03/29/2018",2640.87
"04/02/2018",2581.88
"04/03/2018",2614.45
"04/04/2018",2644.69
"04/05/2018",2662.84
"04/06/2018",2604.47
"04/09/2018",2613.16
"04/10/2018",2656.87
"04/11/2018",2642.19
"04/12/2018",2663.99
"04/13/2018",2656.3
"04/16/2018",2677.84
"04/17/2018",2706.39
"04/18/2018",2708.64
"04/19/2018",2693.13
"04/20/2018",2670.14
"04/23/2018",2670.29
"04/24/2018",2634.56
"04/25/2018",2639.4
"04/26/2018",2666.94
"04/27/2018",2669.91
"04/30/2018",2648.05
"05/01/2018",2654.8
"05/02/2018",2635.67
"05/03/2018",2629.73
"05/04/2018",2663.42
"05/07/2018",2672.63
"05/08/2018",2671.92
"05/09/2018",2697.79
"05/10/2018",2723.07
"05/11/2018",2727.72
"05/14/2018",2730.13
"05/15/2018",2711.45
"05/16/2018",2722.46
"05/17/2018",2720.13
"05/18/2018",2712.97
"05/21/2018",2733.01
"05/22/2018",2724.44
"05/23/2018",2733.29
"05/24/2018",2727.76
"05/25/2018",2721.33
"05/29/2018",2689.86
"05/30/2018",2724.01
"05/31/2018",2705.27
"06/01/2018",2734.62
"06/04/2018",2746.87
"06/05/2018",2748.8
"06/06/2018",2772.35
"06/07/2018",2770.37
"06/08/2018",2779.03
"06/11/2018",2782
"06/12/2018",2786.85
"06/13/2018",2775.63
"06/14/2018",2782.49
"06/15/2018",2779.66
"06/18/2018",2773.75
"06/19/2018",2762.59
"06/20/2018",2767.32
"06/21/2018",2749.76
"06/22/2018",2754.88
"06/25/2018",2717.07
"06/26/2018",2723.06
"06/27/2018",2699.63
"06/28/2018",2716.31
"06/29/2018",2718.37
"07/02/2018",2726.71
"07/03/2018",2713.22
"07/05/2018",2736.61
"07/06/2018",2759.82
"07/09/2018",2784.17
"07/10/2018",2793.84
"07/11/2018",2774.02
"07/12/2018",2798.29
"07/13/2018",2801.31
"07/16/2018",2798.43
"07/17/2018",2809.55
"07/18/2018",2815.62
"07/19/2018",2804.49
"07/20/2018",2801.83
"07/23/2018",2806.98
"07/24/2018",2820.4
"07/25/2018",2846.07
"07/26/2018",2837.44
"07/27/2018",2818.82
"07/30/2018",2802.6
"07/31/2018",2816.29
"08/01/2018",2813.36
"08/02/2018",2827.22
"08/03/2018",2840.35
"08/06/2018",2850.4
"08/07/2018",2858.45
"08/08/2018",2857.7
"08/09/2018",2853.58
"08/10/2018",2833.28
"08/13/2018",2821.93
"08/14/2018",2839.96
"08/15/2018",2818.37
"08/16/2018",2840.69
"08/17/2018",2850.13
"08/20/2018",2857.05
"08/21/2018",2862.96
"08/22/2018",2861.82
"08/23/2018",2856.98
"08/24/2018",2874.69
"08/27/2018",2896.74
"08/28/2018",2897.52
"08/29/2018",2914.04
"08/30/2018",2901.13
"08/31/2018",2901.52
"09/04/2018",2896.72
"09/05/2018",2888.6
"09/06/2018",2878.05
"09/07/2018",2871.68
"09/10/2018",2877.13
"09/11/2018",2887.89
"09/12/2018",2888.92
"09/13/2018",2904.18
"09/14/2018",2904.98
"09/17/2018",2888.8
"09/18/2018",2904.31
"09/19/2018",2907.95
"09/20/2018",2930.75
"09/21/2018",2929.67
"09/24/2018",2919.37
"09/25/2018",2915.56
"09/26/2018",2905.97
"09/27/2018",2914
"09/28/2018",2913.98
"10/01/2018",2924.59
"10/02/2018",2923.43
"10/03/2018",2925.51
"10/04/2018",2901.61
"10/05/2018",2885.57
"10/08/2018",2884.43
"10/09/2018",2880.34
"10/10/2018",2785.68
"10/11/2018",2728.37
"10/12/2018",2767.13
"10/15/2018",2750.79
"10/16/2018",2809.92
"10/17/2018",2809.21
"10/18/2018",2768.78
"10/19/2018",2767.78
"10/22/2018",2755.88
"10/23/2018",2740.69
"10/24/2018",2656.1
"10/25/2018",2705.57
"10/26/2018",2658.69
"10/29/2018",2641.25
"10/30/2018",2682.63
"10/31/2018",2711.74
"11/01/2018",2740.37
"11/02/2018",2723.06
"11/05/2018",2738.31
"11/06/2018",2755.45
"11/07/2018",2813.89
"11/08/2018",2806.83
"11/09/2018",2781.01
"11/12/2018",2726.22
"11/13/2018",2722.18
"11/14/2018",2701.58
"11/15/2018",2730.2
"11/16/2018",2736.27
"11/19/2018",2690.73
"11/20/2018",2641.89
"11/21/2018",2649.93
"11/23/2018",2632.56
"11/26/2018",2673.45
"11/27/2018",2682.17
"11/28/2018",2743.79
"11/29/2018",2737.76
"11/30/2018",2760.17
"12/03/2018",2790.37
"12/04/2018",2700.06
"12/06/2018",2695.95
"12/07/2018",2633.08
"12/10/2018",2637.72
"12/11/2018",2636.78
"12/12/2018",2651.07
"12/13/2018",2650.54
"12/14/2018",2599.95
"12/17/2018",2545.94
"12/18/2018",2546.16
"12/19/2018",2506.96
"12/20/2018",2467.42
"12/21/2018",2416.62
"12/24/2018",2351.1
"12/26/2018",2467.7
"12/27/2018",2488.83
"12/28/2018",2485.74
"12/31/2018",2506.85
"01/02/2019",2510.03
"01/03/2019",2447.89
"01/04/2019",2531.94
"01/07/2019",2549.69
"01/08/2019",2574.41
"01/09/2019",2584.96
"01/10/2019",2596.64
"01/11/2019",2596.26
"01/14/2019",2582.61
"01/15/2019",2610.3
"01/16/2019",2616.1
"01/17/2019",2635.96
"01/18/2019",2670.71
"01/22/2019",2632.9
"01/23/2019",2638.7
"01/24/2019",2642.33
"01/25/2019",2664.76
"01/28/2019",2643.85
"01/29/2019",2640
"01/30/2019",2681.05
"01/31/2019",2704.1
"02/01/2019",2706.53
"02/04/2019",2724.87
"02/05/2019",2737.7
"02/06/2019",2731.61
"02/07/2019",2706.05
"02/08/2019",2707.88
"02/11/2019",2709.8
"02/12/2019",2744.73
"02/13/2019",2753.03
"02/14/2019",2745.73
"02/15/2019",2775.6
"02/19/2019",2779.76
"02/20/2019",2784.7
"02/21/2019",2774.88
"02/22/2019",2792.67
"02/25/2019",2796.11
"02/26/2019",2793.9
"02/27/2019",2792.38
"02/28/2019",2784.49
"03/01/2019",2803.69
"03/04/2019",2792.81
"03/05/2019",2789.65
"03/06/2019",2771.45
"03/07/2019",2748.93
"03/08/2019",2743.07
"03/11/2019",2783.3
"03/12/2019",2791.52
"03/13/2019",2810.92
"03/14/2019",2808.48
"03/15/2019",2822.48
"03/18/2019",2832.94
"03/19/2019",2832.57
"03/20/2019",2824.23
"03/21/2019",2854.88
"03/22/2019",2800.71
"03/25/2019",2798.36
"03/26/2019",2818.46
"03/27/2019",2805.37
"03/28/2019",2815.44
"03/29/2019",2834.4
"04/01/2019",2867.19
"04/02/2019",2867.24
"04/03/2019",2873.4
"04/04/2019",2879.39
"04/05/2019",2892.74
"04/08/2019",2895.77
"04/09/2019",2878.2
"04/10/2019",2888.21
"04/11/2019",2888.32
"04/12/2019",2907.41
"04/15/2019",2905.58
"04/16/2019",2907.06
